Source,Term_ID,Term,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences,adj_p_value,-log10(adj_p),hits,Category
GO:BP,GO:0007249,canonical NF-kappaB signal transduction,0.0102858784729337,True,"""An intracellular signaling cassette characterized by the I-kappaB-kinase (IKK)-dependent activation of NF-kappaB, also known as the canonical NF-kappaB signaling cascade. The cascade begins with activation of a trimeric IKK complex (consisting of catalytic kinase subunits IKKalpha and/or IKKbeta, and the regulatory scaffold protein NEMO) and ends with the regulation of transcription of target genes by NF-kappaB. In a resting state, NF-kappaB dimers are bound to I-kappaB proteins, sequestering NF-kappaB in the cytoplasm. Phosphorylation of I-kappaB targets I-kappaB for ubiquitination and proteasomal degradation, thus releasing the NF-kappaB dimers, which can translocate to the nucleus to bind DNA and regulate transcription. The canonical NF-kappaB pathway is mainly stimulated by proinflammatory cytokines such as IL-1beta, tumor necrosis factor (TNF)-alpha, antigen ligands, and toll-like receptors (TLRs)."" [GOC:bf, PMID:12773372, PMID:34659217]",308,10,4,21026,0.4,0.012987012987012988,query_1,['GO:0141124'],"['IL1B', 'NFKB2', 'CD40', 'LTB']","[['IDA', 'IMP', 'IEA'], ['IDA', 'IBA'], ['IEP', 'IEA'], ['IBA']]",0.0102858784729337,1.9877586111490997,4,Other
GO:BP,GO:0051607,defense response to virus,0.011813920900726046,True,"""Reactions triggered in response to the presence of a virus that act to protect the cell or organism."" [GOC:ai]",319,10,4,21026,0.4,0.012539184952978056,query_1,"['GO:0009615', 'GO:0098542']","['IFI44L', 'IFIH1', 'IL1B', 'CD40']","[['IDA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IEA'], ['IEA']]",0.011813920900726046,1.9276059412565691,4,Other
GO:BP,GO:0002250,adaptive immune response,0.015536051409946357,True,"""An immune response mediated by cells expressing specific receptors for antigens produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory)."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",762,10,5,21026,0.5,0.006561679790026247,query_1,['GO:0006955'],"['SLAMF7', 'PTPN6', 'IL1B', 'NFKB2', 'CD40']","[['IEA'], ['IEA'], ['IDA', 'IC'], ['IEA'], ['IEA']]",0.015536051409946357,1.8086593503210422,5,Other
WP,WP:WP4462,Platelet mediated interactions with vascular and circulating cells,0.021002592977473294,True,Platelet mediated interactions with vascular and circulating cells,17,10,2,8752,0.2,0.11764705882352941,query_1,['WP:000000'],"['IL1B', 'CD40']","[['WP'], ['WP']]",0.021002592977473294,1.6777270840141554,2,Other
GO:BP,GO:0002449,lymphocyte mediated immunity,0.023771487492524175,True,"""Any process involved in the carrying out of an immune response by a lymphocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",381,10,4,21026,0.4,0.010498687664041995,query_1,['GO:0002443'],"['SLAMF7', 'PTPN6', 'IL1B', 'CD40']","[['NAS'], ['IEA'], ['IDA', 'IC'], ['IEA']]",0.023771487492524175,1.623943641596061,4,Other
GO:BP,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,0.027118405379326065,True,"""An immune response mediated by lymphocytes expressing specific receptors for antigen produced through a somatic diversification process that includes somatic recombination of germline gene segments encoding immunoglobulin superfamily domains. Recombined receptors for antigen encoded by immunoglobulin superfamily domains include T cell receptors and immunoglobulins (antibodies) produced by B cells. The first encounter with antigen elicits a primary immune response that is slow and not of great magnitude. T and B cells selected by antigen become activated and undergo clonal expansion. A fraction of antigen-reactive T and B cells become memory cells, whereas others differentiate into effector cells. The memory cells generated during the primary response enable a much faster and stronger secondary immune response upon subsequent exposures to the same antigen (immunological memory). An example of this is the adaptive immune response found in Mus musculus."" [GOC:add, GOC:mtg_sensu, ISBN:0781735149, ISBN:1405196831]",394,10,4,21026,0.4,0.01015228426395939,query_1,['GO:0002250'],"['PTPN6', 'IL1B', 'NFKB2', 'CD40']","[['IEA'], ['IDA', 'IC'], ['IEA'], ['IEA']]",0.027118405379326065,1.5667358515055752,4,Other
HP,HP:0002633,Vasculitis,0.027349710553290815,True,Inflammation of blood vessel.,73,5,3,5080,0.6,0.0410958904109589,query_1,['HP:0033353'],"['PTPN6', 'IFIH1', 'NFKB2']","[['HP'], ['HP'], ['HP']]",0.027349710553290815,1.5630472655197198,3,Other
WP,WP:WP5146,Lung pathology of COVID 19,0.029288228899459163,True,Lung pathology of COVID 19,20,10,2,8752,0.2,0.1,query_1,['WP:000000'],"['IFIH1', 'IL1B']","[['WP'], ['WP']]",0.029288228899459163,1.533306889924683,2,Other
GO:BP,GO:0009615,response to virus,0.03293020901703547,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a virus."" [GOC:hb]",414,10,4,21026,0.4,0.00966183574879227,query_1,['GO:0051707'],"['IFI44L', 'IFIH1', 'IL1B', 'CD40']","[['IDA', 'IEA'], ['IDA', 'IEP', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IEA']]",0.03293020901703547,1.4824055126935876,4,Other
REAC,REAC:R-HSA-446652,Interleukin-1 family signaling,0.033717448313109216,True,Interleukin-1 family signaling,151,8,3,11004,0.375,0.019867549668874173,query_1,['REAC:R-HSA-449147'],"['PTPN6', 'IL1B', 'NFKB2']","[['REAC'], ['REAC'], ['REAC']]",0.033717448313109216,1.4721452995712574,3,Other
REAC,REAC:R-HSA-9660826,Purinergic signaling in leishmaniasis infection,0.03439968056344491,True,Purinergic signaling in leishmaniasis infection,25,8,2,11004,0.25,0.08,query_1,['REAC:R-HSA-9664424'],"['IL1B', 'NFKB2']","[['REAC'], ['REAC']]",0.03439968056344491,1.4634455902824617,2,Other
REAC,REAC:R-HSA-933542,TRAF6 mediated NF-kB activation,0.03439968056344491,True,TRAF6 mediated NF-kB activation,25,8,2,11004,0.25,0.08,query_1,['REAC:R-HSA-168928'],"['IFIH1', 'NFKB2']","[['REAC'], ['REAC']]",0.03439968056344491,1.4634455902824617,2,Immune signaling
REAC,REAC:R-HSA-9664424,Cell recruitment (pro-inflammatory response),0.03439968056344491,True,Cell recruitment (pro-inflammatory response),25,8,2,11004,0.25,0.08,query_1,['REAC:R-HSA-9658195'],"['IL1B', 'NFKB2']","[['REAC'], ['REAC']]",0.03439968056344491,1.4634455902824617,2,Other
WP,WP:WP5272,LDL influence on CD14 and TLR4,0.03892830643487382,True,LDL influence on CD14 and TLR4,23,10,2,8752,0.2,0.08695652173913043,query_1,['WP:000000'],"['IL1B', 'NFKB2']","[['WP'], ['WP']]",0.03892830643487382,1.4097344897313064,2,Immune signaling
GO:BP,GO:0032635,interleukin-6 production,0.04979655006937468,True,"""The appearance of interleukin-6 due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:mah]",152,10,3,21026,0.3,0.019736842105263157,query_1,['GO:0001816'],"['PTPN6', 'IFIH1', 'IL1B']","[['ISS', 'IEA'], ['IMP'], ['IGI', 'TAS', 'IEA']]",0.04979655006937468,1.3028007443433613,3,Other
GO:BP,GO:0032675,regulation of interleukin-6 production,0.04979655006937468,True,"""Any process that modulates the frequency, rate, or extent of interleukin-6 production."" [GOC:mah]",152,10,3,21026,0.3,0.019736842105263157,query_1,"['GO:0001817', 'GO:0032635']","['PTPN6', 'IFIH1', 'IL1B']","[['ISS', 'IEA'], ['IMP'], ['IGI', 'TAS', 'IEA']]",0.04979655006937468,1.3028007443433613,3,Other
REAC,REAC:R-HSA-449147,Signaling by Interleukins,0.05265788536980228,True,Signaling by Interleukins,476,8,4,11004,0.5,0.008403361344537815,query_1,['REAC:R-HSA-1280215'],"['SERPINB2', 'PTPN6', 'IL1B', 'NFKB2']","[['REAC'], ['REAC'], ['REAC'], ['REAC']]",0.05265788536980228,1.2785365852349988,4,Other
GO:BP,GO:0045087,innate immune response,0.05347154391843147,True,"""Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens."" [GO_REF:0000022, GOC:add, GOC:ebc, GOC:mtg_sensu]",984,10,5,21026,0.5,0.00508130081300813,query_1,"['GO:0006955', 'GO:0140546']","['SLAMF7', 'PTPN6', 'IFIH1', 'NFKB2', 'CD40']","[['NAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IBA'], ['IEA']]",0.05347154391843147,1.2718772760534822,5,Other
WP,WP:WP4630,Measles virus infection,0.05392948260060714,True,Measles virus infection,136,10,3,8752,0.3,0.022058823529411766,query_1,['WP:000000'],"['IFIH1', 'IL1B', 'NFKB2']","[['WP'], ['WP'], ['WP']]",0.05392948260060714,1.2681737463126008,3,Other
GO:BP,GO:0006950,response to stress,0.055855214304933676,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3948,10,8,21026,0.8,0.002026342451874367,query_1,['GO:0050896'],"['IFI44L', 'SERPINB2', 'SLAMF7', 'PTPN6', 'IFIH1', 'IL1B', 'NFKB2', 'CD40']","[['IDA', 'IEA'], ['TAS'], ['NAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IGI', 'ISS', 'IBA', 'TAS', 'NAS', 'IEA'], ['IBA'], ['TAS', 'NAS', 'IEA']]",0.055855214304933676,1.2529362775500854,8,Other
GO:BP,GO:0002443,leukocyte mediated immunity,0.05919988545449069,True,"""Any process involved in the carrying out of an immune response by a leukocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",481,10,4,21026,0.4,0.008316008316008316,query_1,['GO:0002252'],"['SLAMF7', 'PTPN6', 'IL1B', 'CD40']","[['NAS'], ['IEA'], ['IDA', 'IC'], ['IEA']]",0.05919988545449069,1.2276791335900996,4,Other
GO:BP,GO:0001819,positive regulation of cytokine production,0.0656876088713347,True,"""Any process that activates or increases the frequency, rate or extent of production of a cytokine."" [GOC:add, ISBN:0781735149]",494,10,4,21026,0.4,0.008097165991902834,query_1,"['GO:0001816', 'GO:0001817', 'GO:0010628', 'GO:0051240']","['IFIH1', 'IL1B', 'CD40', 'LTB']","[['IDA', 'IMP', 'TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'TAS', 'IEA'], ['IEA'], ['ISS', 'IEA']]",0.0656876088713347,1.1825165468228382,4,Immune signaling
WP,WP:WP5038,Mitochondrial immune response to SARS CoV 2,0.08074773671634244,True,Mitochondrial immune response to SARS CoV 2,33,10,2,8752,0.2,0.06060606060606061,query_1,['WP:000000'],"['IFIH1', 'NFKB2']","[['WP'], ['WP']]",0.08074773671634244,1.0928696416950472,2,Other
GO:BP,GO:0032101,regulation of response to external stimulus,0.0843207005202235,True,"""Any process that modulates the frequency, rate or extent of a response to an external stimulus."" [GOC:mah]",1082,10,5,21026,0.5,0.0046210720887245845,query_1,"['GO:0009605', 'GO:0048583']","['SERPINB2', 'PTPN6', 'IFIH1', 'IL1B', 'CD40']","[['TAS'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IGI', 'ISS', 'TAS', 'IEA'], ['IEA']]",0.0843207005202235,1.0740657940811993,5,Other
GO:BP,GO:0140546,defense response to symbiont,0.0843207005202235,True,"""Reactions triggered in response to the presence of a symbiont that act to protect or prevent damage to the host."" [GOC:pg]",1082,10,5,21026,0.5,0.0046210720887245845,query_1,['GO:0098542'],"['SLAMF7', 'PTPN6', 'IFIH1', 'NFKB2', 'CD40']","[['NAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IBA'], ['IEA']]",0.0843207005202235,1.0740657940811993,5,Other
HP,HP:0005550,Chronic lymphatic leukemia,0.09069272430593239,True,"A chronic lymphocytic/lymphatic/lymphoblastic leukemia (CLL) is a neoplastic disease characterized by proliferation and accumulation (blood, marrow and lymphoid organs) of morphologically mature but immunologically dysfunctional lymphocytes. A CLL is always a B-cell lymphocytic leukemia as there are no reports of cases of T-cell lymphocytic leukemias.",16,5,2,5080,0.4,0.125,query_1,['HP:0005558'],"['PTPN6', 'IFIH1']","[['HP'], ['HP']]",0.09069272430593239,1.0424275521959925,2,Other
WP,WP:WP3617,Photodynamic therapy induced NF kB survival signaling,0.09088321104783086,True,Photodynamic therapy induced NF kB survival signaling,35,10,2,8752,0.2,0.05714285714285714,query_1,['WP:000000'],"['IL1B', 'NFKB2']","[['WP'], ['WP']]",0.09088321104783086,1.0415163370498903,2,Other
GO:BP,GO:0002831,regulation of response to biotic stimulus,0.09289003402383642,True,"""Any process that modulates the frequency, rate, or extent of a response to biotic stimulus."" [GOC:add]",540,10,4,21026,0.4,0.007407407407407408,query_1,"['GO:0009607', 'GO:0048583']","['PTPN6', 'IFIH1', 'IL1B', 'CD40']","[['IDA', 'TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IEA'], ['IEA']]",0.09289003402383642,1.0320308780475462,4,Other
HP,HP:0004315,Decreased circulating IgG concentration,0.09643715902836997,True,An abnormally decreased level of immunoglobulin G (IgG) in blood.,111,5,3,5080,0.6,0.02702702702702703,query_1,"['HP:0004313', 'HP:0410242']","['IFIH1', 'NFKB2', 'CD40']","[['HP'], ['HP'], ['HP']]",0.09643715902836997,1.0157555921195083,3,Other
GO:CC,GO:0033257,Bcl3/NF-kappaB2 complex,0.09986635380005669,True,"""A protein complex containing one Bcl protein and one or more copies of NF-kappaB2; formation of complexes of different stoichiometry depends on the Bcl3:NF-kappaB2 ratio, and allow Bcl3 to exert different regulatory effects on NF-kappaB2-dependent transcription."" [GOC:mah, PMID:9407099]",2,10,1,22149,0.1,0.5,query_1,['GO:0033256'],['NFKB2'],[['IDA']],0.09986635380005669,1.0005808062708896,1,Other
GO:BP,GO:0051239,regulation of multicellular organismal process,0.10172165029198825,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2956,10,7,21026,0.7,0.002368064952638701,query_1,"['GO:0032501', 'GO:0050789']","['SERPINB2', 'XAF1', 'PTPN6', 'IFIH1', 'IL1B', 'CD40', 'LTB']","[['TAS'], ['IDA'], ['IDA', 'ISS', 'TAS', 'IEA'], ['IDA', 'IMP', 'TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'TAS', 'IEA'], ['IMP', 'IEA'], ['ISS', 'IEA']]",0.10172165029198825,0.9925866026165592,7,Other
GO:BP,GO:0006915,apoptotic process,0.10255654884188987,True,"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]",1923,10,6,21026,0.6,0.0031201248049922,query_1,['GO:0012501'],"['SERPINB2', 'XAF1', 'PTPN6', 'IL1B', 'CD40', 'LTB']","[['TAS', 'IEA'], ['IEA'], ['TAS'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IBA']]",0.10255654884188987,0.9890366021402119,6,Other
GO:BP,GO:0002706,regulation of lymphocyte mediated immunity,0.10289057704573232,True,"""Any process that modulates the frequency, rate, or extent of lymphocyte mediated immunity."" [GOC:add]",194,10,3,21026,0.3,0.015463917525773196,query_1,"['GO:0002449', 'GO:0002703']","['PTPN6', 'IL1B', 'CD40']","[['IEA'], ['IDA', 'IC'], ['IEA']]",0.10289057704573232,0.9876243970979048,3,Other
GO:BP,GO:0001775,cell activation,0.10464814572878095,True,"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]",1132,10,5,21026,0.5,0.00441696113074205,query_1,"['GO:0009987', 'GO:0032501']","['SLAMF7', 'PTPN6', 'IL1B', 'NFKB2', 'CD40']","[['IBA', 'NAS'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IEA'], ['IBA', 'NAS', 'IEA']]",0.10464814572878095,0.9802684625655521,5,Other
