Term_ID	Term	Source	Gene
REAC:R-HSA-9664424	Cell recruitment (pro-inflammatory response)	REAC	IL1B
REAC:R-HSA-9664424	Cell recruitment (pro-inflammatory response)	REAC	NFKB2
WP:WP5272	LDL influence on CD14 and TLR4	WP	IL1B
WP:WP5272	LDL influence on CD14 and TLR4	WP	NFKB2
GO:0032635	interleukin-6 production	GO:BP	PTPN6
GO:0032635	interleukin-6 production	GO:BP	IFIH1
GO:0032635	interleukin-6 production	GO:BP	IL1B
GO:0032675	regulation of interleukin-6 production	GO:BP	PTPN6
GO:0032675	regulation of interleukin-6 production	GO:BP	IFIH1
GO:0032675	regulation of interleukin-6 production	GO:BP	IL1B
REAC:R-HSA-449147	Signaling by Interleukins	REAC	SERPINB2
REAC:R-HSA-449147	Signaling by Interleukins	REAC	PTPN6
REAC:R-HSA-449147	Signaling by Interleukins	REAC	IL1B
REAC:R-HSA-449147	Signaling by Interleukins	REAC	NFKB2
GO:0045087	innate immune response	GO:BP	SLAMF7
GO:0045087	innate immune response	GO:BP	PTPN6
GO:0045087	innate immune response	GO:BP	IFIH1
GO:0045087	innate immune response	GO:BP	NFKB2
GO:0045087	innate immune response	GO:BP	CD40
WP:WP4630	Measles virus infection	WP	IFIH1
WP:WP4630	Measles virus infection	WP	IL1B
WP:WP4630	Measles virus infection	WP	NFKB2
GO:0006950	response to stress	GO:BP	IFI44L
GO:0006950	response to stress	GO:BP	SERPINB2
GO:0006950	response to stress	GO:BP	SLAMF7
GO:0006950	response to stress	GO:BP	PTPN6
GO:0006950	response to stress	GO:BP	IFIH1
GO:0006950	response to stress	GO:BP	IL1B
GO:0006950	response to stress	GO:BP	NFKB2
GO:0006950	response to stress	GO:BP	CD40
GO:0002443	leukocyte mediated immunity	GO:BP	SLAMF7
GO:0002443	leukocyte mediated immunity	GO:BP	PTPN6
GO:0002443	leukocyte mediated immunity	GO:BP	IL1B
GO:0002443	leukocyte mediated immunity	GO:BP	CD40
GO:0001819	positive regulation of cytokine production	GO:BP	IFIH1
GO:0001819	positive regulation of cytokine production	GO:BP	IL1B
GO:0001819	positive regulation of cytokine production	GO:BP	CD40
GO:0001819	positive regulation of cytokine production	GO:BP	LTB
WP:WP5038	Mitochondrial immune response to SARS CoV 2	WP	IFIH1
WP:WP5038	Mitochondrial immune response to SARS CoV 2	WP	NFKB2
GO:0032101	regulation of response to external stimulus	GO:BP	SERPINB2
GO:0032101	regulation of response to external stimulus	GO:BP	PTPN6
GO:0032101	regulation of response to external stimulus	GO:BP	IFIH1
GO:0032101	regulation of response to external stimulus	GO:BP	IL1B
GO:0032101	regulation of response to external stimulus	GO:BP	CD40
GO:0140546	defense response to symbiont	GO:BP	SLAMF7
GO:0140546	defense response to symbiont	GO:BP	PTPN6
GO:0140546	defense response to symbiont	GO:BP	IFIH1
GO:0140546	defense response to symbiont	GO:BP	NFKB2
GO:0140546	defense response to symbiont	GO:BP	CD40
HP:0005550	Chronic lymphatic leukemia	HP	PTPN6
HP:0005550	Chronic lymphatic leukemia	HP	IFIH1
WP:WP3617	Photodynamic therapy induced NF kB survival signaling	WP	IL1B
WP:WP3617	Photodynamic therapy induced NF kB survival signaling	WP	NFKB2
GO:0002831	regulation of response to biotic stimulus	GO:BP	PTPN6
GO:0002831	regulation of response to biotic stimulus	GO:BP	IFIH1
GO:0002831	regulation of response to biotic stimulus	GO:BP	IL1B
GO:0002831	regulation of response to biotic stimulus	GO:BP	CD40
HP:0004315	Decreased circulating IgG concentration	HP	IFIH1
HP:0004315	Decreased circulating IgG concentration	HP	NFKB2
HP:0004315	Decreased circulating IgG concentration	HP	CD40
GO:0033257	Bcl3/NF-kappaB2 complex	GO:CC	NFKB2
GO:0051239	regulation of multicellular organismal process	GO:BP	SERPINB2
GO:0051239	regulation of multicellular organismal process	GO:BP	XAF1
GO:0051239	regulation of multicellular organismal process	GO:BP	PTPN6
GO:0051239	regulation of multicellular organismal process	GO:BP	IFIH1
GO:0051239	regulation of multicellular organismal process	GO:BP	IL1B
GO:0051239	regulation of multicellular organismal process	GO:BP	CD40
GO:0051239	regulation of multicellular organismal process	GO:BP	LTB
GO:0006915	apoptotic process	GO:BP	SERPINB2
GO:0006915	apoptotic process	GO:BP	XAF1
GO:0006915	apoptotic process	GO:BP	PTPN6
GO:0006915	apoptotic process	GO:BP	IL1B
GO:0006915	apoptotic process	GO:BP	CD40
GO:0006915	apoptotic process	GO:BP	LTB
GO:0002706	regulation of lymphocyte mediated immunity	GO:BP	PTPN6
GO:0002706	regulation of lymphocyte mediated immunity	GO:BP	IL1B
GO:0002706	regulation of lymphocyte mediated immunity	GO:BP	CD40
GO:0001775	cell activation	GO:BP	SLAMF7
GO:0001775	cell activation	GO:BP	PTPN6
GO:0001775	cell activation	GO:BP	IL1B
GO:0001775	cell activation	GO:BP	NFKB2
GO:0001775	cell activation	GO:BP	CD40
GO:0002253	activation of immune response	GO:BP	PTPN6
GO:0002253	activation of immune response	GO:BP	IFIH1
GO:0002253	activation of immune response	GO:BP	IL1B
GO:0002253	activation of immune response	GO:BP	CD40
GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	GO:BP	PTPN6
GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	GO:BP	IL1B
GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	GO:BP	CD40
GO:0002520	immune system development	GO:BP	NFKB2
GO:0002520	immune system development	GO:BP	CD40
GO:0002520	immune system development	GO:BP	LTB
WP:WP5474	Catabolism of skeletal muscle in cachexia	WP	IL1B
WP:WP5474	Catabolism of skeletal muscle in cachexia	WP	NFKB2
GO:0012501	programmed cell death	GO:BP	SERPINB2
GO:0012501	programmed cell death	GO:BP	XAF1
GO:0012501	programmed cell death	GO:BP	PTPN6
GO:0012501	programmed cell death	GO:BP	IL1B
GO:0012501	programmed cell death	GO:BP	CD40
GO:0012501	programmed cell death	GO:BP	LTB
GO:0008219	cell death	GO:BP	SERPINB2
GO:0008219	cell death	GO:BP	XAF1
GO:0008219	cell death	GO:BP	PTPN6
GO:0008219	cell death	GO:BP	IL1B
GO:0008219	cell death	GO:BP	CD40
GO:0008219	cell death	GO:BP	LTB
GO:0043123	positive regulation of canonical NF-kappaB signal transduction	GO:BP	IL1B
GO:0043123	positive regulation of canonical NF-kappaB signal transduction	GO:BP	CD40
GO:0043123	positive regulation of canonical NF-kappaB signal transduction	GO:BP	LTB
GO:0002819	regulation of adaptive immune response	GO:BP	PTPN6
GO:0002819	regulation of adaptive immune response	GO:BP	IL1B
GO:0002819	regulation of adaptive immune response	GO:BP	CD40
WP:WP2873	Aryl hydrocarbon receptor pathway	WP	SERPINB2
WP:WP2873	Aryl hydrocarbon receptor pathway	WP	IL1B
HP:0410242	Abnormal circulating IgG concentration	HP	IFIH1
HP:0410242	Abnormal circulating IgG concentration	HP	NFKB2
HP:0410242	Abnormal circulating IgG concentration	HP	CD40
GO:0007596	blood coagulation	GO:BP	SERPINB2
GO:0007596	blood coagulation	GO:BP	PTPN6
GO:0007596	blood coagulation	GO:BP	CD40
GO:0050670	regulation of lymphocyte proliferation	GO:BP	PTPN6
GO:0050670	regulation of lymphocyte proliferation	GO:BP	IL1B
GO:0050670	regulation of lymphocyte proliferation	GO:BP	CD40
GO:0007599	hemostasis	GO:BP	SERPINB2
GO:0007599	hemostasis	GO:BP	PTPN6
GO:0007599	hemostasis	GO:BP	CD40
GO:0050817	coagulation	GO:BP	SERPINB2
GO:0050817	coagulation	GO:BP	PTPN6
GO:0050817	coagulation	GO:BP	CD40
HP:0005558	Chronic leukemia	HP	PTPN6
HP:0005558	Chronic leukemia	HP	IFIH1
GO:0032944	regulation of mononuclear cell proliferation	GO:BP	PTPN6
GO:0032944	regulation of mononuclear cell proliferation	GO:BP	IL1B
GO:0032944	regulation of mononuclear cell proliferation	GO:BP	CD40
GO:0033256	I-kappaB/NF-kappaB complex	GO:CC	NFKB2
GO:0032735	positive regulation of interleukin-12 production	GO:BP	CD40
GO:0032735	positive regulation of interleukin-12 production	GO:BP	LTB
WP:WP1533	Vitamin B12 metabolism	WP	IL1B
WP:WP1533	Vitamin B12 metabolism	WP	NFKB2
GO:0002703	regulation of leukocyte mediated immunity	GO:BP	PTPN6
GO:0002703	regulation of leukocyte mediated immunity	GO:BP	IL1B
GO:0002703	regulation of leukocyte mediated immunity	GO:BP	CD40
GO:0050896	response to stimulus	GO:BP	IFI44L
GO:0050896	response to stimulus	GO:BP	SERPINB2
GO:0050896	response to stimulus	GO:BP	XAF1
GO:0050896	response to stimulus	GO:BP	SLAMF7
GO:0050896	response to stimulus	GO:BP	PTPN6
GO:0050896	response to stimulus	GO:BP	IFIH1
GO:0050896	response to stimulus	GO:BP	IL1B
GO:0050896	response to stimulus	GO:BP	NFKB2
GO:0050896	response to stimulus	GO:BP	CD40
GO:0050896	response to stimulus	GO:BP	LTB
GO:0002920	regulation of humoral immune response	GO:BP	PTPN6
GO:0002920	regulation of humoral immune response	GO:BP	IL1B
GO:0002699	positive regulation of immune effector process	GO:BP	PTPN6
GO:0002699	positive regulation of immune effector process	GO:BP	IL1B
GO:0002699	positive regulation of immune effector process	GO:BP	CD40
HP:0012490	Panniculitis	HP	PTPN6
HP:0012490	Panniculitis	HP	IFIH1
GO:0070663	regulation of leukocyte proliferation	GO:BP	PTPN6
GO:0070663	regulation of leukocyte proliferation	GO:BP	IL1B
GO:0070663	regulation of leukocyte proliferation	GO:BP	CD40
GO:0080134	regulation of response to stress	GO:BP	SERPINB2
GO:0080134	regulation of response to stress	GO:BP	PTPN6
GO:0080134	regulation of response to stress	GO:BP	IFIH1
GO:0080134	regulation of response to stress	GO:BP	IL1B
GO:0080134	regulation of response to stress	GO:BP	CD40
GO:0002252	immune effector process	GO:BP	SLAMF7
GO:0002252	immune effector process	GO:BP	PTPN6
GO:0002252	immune effector process	GO:BP	IL1B
GO:0002252	immune effector process	GO:BP	CD40
GO:0038023	signaling receptor activity	GO:MF	PTPN6
GO:0038023	signaling receptor activity	GO:MF	IFIH1
GO:0038023	signaling receptor activity	GO:MF	IL1B
GO:0038023	signaling receptor activity	GO:MF	CD40
GO:0038023	signaling receptor activity	GO:MF	LTB
GO:0060089	molecular transducer activity	GO:MF	PTPN6
GO:0060089	molecular transducer activity	GO:MF	IFIH1
GO:0060089	molecular transducer activity	GO:MF	IL1B
GO:0060089	molecular transducer activity	GO:MF	CD40
GO:0060089	molecular transducer activity	GO:MF	LTB
REAC:R-HSA-909733	Interferon alpha/beta signaling	REAC	XAF1
REAC:R-HSA-909733	Interferon alpha/beta signaling	REAC	PTPN6
GO:0043122	regulation of canonical NF-kappaB signal transduction	GO:BP	IL1B
GO:0043122	regulation of canonical NF-kappaB signal transduction	GO:BP	CD40
GO:0043122	regulation of canonical NF-kappaB signal transduction	GO:BP	LTB
GO:0050778	positive regulation of immune response	GO:BP	PTPN6
GO:0050778	positive regulation of immune response	GO:BP	IFIH1
GO:0050778	positive regulation of immune response	GO:BP	IL1B
GO:0050778	positive regulation of immune response	GO:BP	CD40
GO:0045765	regulation of angiogenesis	GO:BP	PTPN6
GO:0045765	regulation of angiogenesis	GO:BP	IL1B
GO:0045765	regulation of angiogenesis	GO:BP	CD40
GO:0042105	alpha-beta T cell receptor complex	GO:CC	PTPN6
WP:WP176	Folate metabolism	WP	IL1B
WP:WP176	Folate metabolism	WP	NFKB2
GO:0042981	regulation of apoptotic process	GO:BP	SERPINB2
GO:0042981	regulation of apoptotic process	GO:BP	PTPN6
GO:0042981	regulation of apoptotic process	GO:BP	IL1B
GO:0042981	regulation of apoptotic process	GO:BP	CD40
GO:0042981	regulation of apoptotic process	GO:BP	LTB
GO:1901342	regulation of vasculature development	GO:BP	PTPN6
GO:1901342	regulation of vasculature development	GO:BP	IL1B
GO:1901342	regulation of vasculature development	GO:BP	CD40
REAC:R-HSA-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta	REAC	IFIH1
REAC:R-HSA-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta	REAC	NFKB2
WP:WP5218	Extrafollicular and follicular B cell activation by SARS CoV 2	WP	SLAMF7
WP:WP5218	Extrafollicular and follicular B cell activation by SARS CoV 2	WP	CD40
GO:0043067	regulation of programmed cell death	GO:BP	SERPINB2
GO:0043067	regulation of programmed cell death	GO:BP	PTPN6
GO:0043067	regulation of programmed cell death	GO:BP	IL1B
GO:0043067	regulation of programmed cell death	GO:BP	CD40
GO:0043067	regulation of programmed cell death	GO:BP	LTB
GO:0046651	lymphocyte proliferation	GO:BP	PTPN6
GO:0046651	lymphocyte proliferation	GO:BP	IL1B
GO:0046651	lymphocyte proliferation	GO:BP	CD40
GO:0032655	regulation of interleukin-12 production	GO:BP	CD40
GO:0032655	regulation of interleukin-12 production	GO:BP	LTB
GO:0032615	interleukin-12 production	GO:BP	CD40
GO:0032615	interleukin-12 production	GO:BP	LTB
GO:0031347	regulation of defense response	GO:BP	PTPN6
GO:0031347	regulation of defense response	GO:BP	IFIH1
GO:0031347	regulation of defense response	GO:BP	IL1B
GO:0031347	regulation of defense response	GO:BP	CD40
GO:0032943	mononuclear cell proliferation	GO:BP	PTPN6
GO:0032943	mononuclear cell proliferation	GO:BP	IL1B
GO:0032943	mononuclear cell proliferation	GO:BP	CD40
GO:0043196	varicosity	GO:CC	CD40
HP:0011893	Abnormal leukocyte count	HP	PTPN6
HP:0011893	Abnormal leukocyte count	HP	IFIH1
HP:0011893	Abnormal leukocyte count	HP	NFKB2
HP:0011893	Abnormal leukocyte count	HP	CD40
GO:0046649	lymphocyte activation	GO:BP	SLAMF7
GO:0046649	lymphocyte activation	GO:BP	PTPN6
GO:0046649	lymphocyte activation	GO:BP	IL1B
GO:0046649	lymphocyte activation	GO:BP	CD40
GO:0002712	regulation of B cell mediated immunity	GO:BP	PTPN6
GO:0002712	regulation of B cell mediated immunity	GO:BP	CD40
GO:0002889	regulation of immunoglobulin mediated immune response	GO:BP	PTPN6
GO:0002889	regulation of immunoglobulin mediated immune response	GO:BP	CD40
GO:0051251	positive regulation of lymphocyte activation	GO:BP	PTPN6
GO:0051251	positive regulation of lymphocyte activation	GO:BP	IL1B
GO:0051251	positive regulation of lymphocyte activation	GO:BP	CD40
REAC:R-HSA-5607764	CLEC7A (Dectin-1) signaling	REAC	IL1B
REAC:R-HSA-5607764	CLEC7A (Dectin-1) signaling	REAC	NFKB2
GO:0032496	response to lipopolysaccharide	GO:BP	IL1B
GO:0032496	response to lipopolysaccharide	GO:BP	NFKB2
GO:0032496	response to lipopolysaccharide	GO:BP	CD40
WP:WP15	Selenium micronutrient network	WP	IL1B
WP:WP15	Selenium micronutrient network	WP	NFKB2
GO:0071345	cellular response to cytokine stimulus	GO:BP	PTPN6
GO:0071345	cellular response to cytokine stimulus	GO:BP	IFIH1
GO:0071345	cellular response to cytokine stimulus	GO:BP	IL1B
GO:0071345	cellular response to cytokine stimulus	GO:BP	CD40
GO:0035631	CD40 receptor complex	GO:CC	CD40
REAC:R-HSA-5668541	TNFR2 non-canonical NF-kB pathway	REAC	NFKB2
REAC:R-HSA-5668541	TNFR2 non-canonical NF-kB pathway	REAC	LTB
GO:0006954	inflammatory response	GO:BP	PTPN6
GO:0006954	inflammatory response	GO:BP	IL1B
GO:0006954	inflammatory response	GO:BP	NFKB2
GO:0006954	inflammatory response	GO:BP	CD40
WP:WP2328	Allograft rejection	WP	IL1B
WP:WP2328	Allograft rejection	WP	CD40
GO:0043406	positive regulation of MAP kinase activity	GO:BP	IL1B
GO:0043406	positive regulation of MAP kinase activity	GO:BP	CD40
WP:WP2882	Nuclear receptors meta pathway	WP	SERPINB2
WP:WP2882	Nuclear receptors meta pathway	WP	IL1B
WP:WP2882	Nuclear receptors meta pathway	WP	NFKB2
GO:0032501	multicellular organismal process	GO:BP	SERPINB2
GO:0032501	multicellular organismal process	GO:BP	XAF1
GO:0032501	multicellular organismal process	GO:BP	SLAMF7
GO:0032501	multicellular organismal process	GO:BP	PTPN6
GO:0032501	multicellular organismal process	GO:BP	IFIH1
GO:0032501	multicellular organismal process	GO:BP	IL1B
GO:0032501	multicellular organismal process	GO:BP	NFKB2
GO:0032501	multicellular organismal process	GO:BP	CD40
GO:0032501	multicellular organismal process	GO:BP	LTB
GO:0070661	leukocyte proliferation	GO:BP	PTPN6
GO:0070661	leukocyte proliferation	GO:BP	IL1B
GO:0070661	leukocyte proliferation	GO:BP	CD40
GO:0019904	protein domain specific binding	GO:MF	PTPN6
GO:0019904	protein domain specific binding	GO:MF	IL1B
GO:0019904	protein domain specific binding	GO:MF	CD40
GO:0002237	response to molecule of bacterial origin	GO:BP	IL1B
GO:0002237	response to molecule of bacterial origin	GO:BP	NFKB2
GO:0002237	response to molecule of bacterial origin	GO:BP	CD40
GO:0071260	cellular response to mechanical stimulus	GO:BP	IL1B
GO:0071260	cellular response to mechanical stimulus	GO:BP	CD40
GO:0071496	cellular response to external stimulus	GO:BP	IL1B
GO:0071496	cellular response to external stimulus	GO:BP	CD40
GO:0051240	positive regulation of multicellular organismal process	GO:BP	PTPN6
GO:0051240	positive regulation of multicellular organismal process	GO:BP	IFIH1
GO:0051240	positive regulation of multicellular organismal process	GO:BP	IL1B
GO:0051240	positive regulation of multicellular organismal process	GO:BP	CD40
GO:0051240	positive regulation of multicellular organismal process	GO:BP	LTB
GO:0002696	positive regulation of leukocyte activation	GO:BP	PTPN6
GO:0002696	positive regulation of leukocyte activation	GO:BP	IL1B
GO:0002696	positive regulation of leukocyte activation	GO:BP	CD40
WP:WP75	Toll like receptor signaling	WP	IL1B
WP:WP75	Toll like receptor signaling	WP	CD40
GO:0042267	natural killer cell mediated cytotoxicity	GO:BP	SLAMF7
GO:0042267	natural killer cell mediated cytotoxicity	GO:BP	PTPN6
REAC:R-HSA-9020702	Interleukin-1 signaling	REAC	IL1B
REAC:R-HSA-9020702	Interleukin-1 signaling	REAC	NFKB2
HP:0100614	Myositis	HP	PTPN6
HP:0100614	Myositis	HP	IFIH1
GO:0050878	regulation of body fluid levels	GO:BP	SERPINB2
GO:0050878	regulation of body fluid levels	GO:BP	PTPN6
GO:0050878	regulation of body fluid levels	GO:BP	CD40
GO:0050867	positive regulation of cell activation	GO:BP	PTPN6
GO:0050867	positive regulation of cell activation	GO:BP	IL1B
GO:0050867	positive regulation of cell activation	GO:BP	CD40
GO:0002228	natural killer cell mediated immunity	GO:BP	SLAMF7
GO:0002228	natural killer cell mediated immunity	GO:BP	PTPN6
HP:0004313	Decreased circulating immunoglobulin concentration	HP	IFIH1
HP:0004313	Decreased circulating immunoglobulin concentration	HP	NFKB2
